year,segment,sales_lag_1,operating_income_lag_1,margin_lag_1,forecast_net_sales_musd,assumed_operating_margin,forecast_operating_income_musd
2026,International,161894.0,4750.0,0.029340185553510322,176759.7283956976,0.011877069390038969,2099.387559520142
2026,AWS,128725.0,45606.0,0.3542901534278501,155500.40006324873,0.33201370165217514,51628.26343339334
2026,North America,426305.0,29619.0,0.0694784250712518,448064.2885445717,0.05869163751805062,26297.626808041245
2027,International,176759.7283956976,2099.387559520142,0.01187706939003897,189799.5745360888,0.022584059999726753,4286.444979245639
2027,AWS,155500.40006324873,51628.26343339334,0.33201370165217514,186107.3172472813,0.35221992090008053,65550.7045597636
2027,North America,448064.2885445717,26297.626808041245,0.05869163751805062,464591.4039291038,0.0642005097184984,29827.004943081247
2028,International,189799.5745360888,4286.444979245639,0.02258405999972675,202466.54094328065,0.02126710498109201,4305.8771813993135
2028,AWS,186107.3172472813,65550.7045597636,0.3522199209000805,221507.4016747344,0.34617459199336853,76680.23439826237
2028,North America,464591.4039291038,29827.004943081247,0.0642005097184984,481751.196133814,0.06412352410260028,30891.584436743135
